item_name,bin_type
3d printed plastic,garbage bin
adhesive tape,garbage bin
aerosol can,blue bin
air cushion,garbage bin
air purifier,garbage bin
vaporizer,garbage bin
air conditioner,garbage bin
dehumidifier,garbage bin
airbag,garbage bin
aluminum foil container,blue bin
wrap,blue bin
amazon box,yellow bin
area rug,garbage bin
artificial christmas tree,garbage bin
asbestos,garbage bin
ashes,garbage bin
asphalt shingle,garbage bin
audio device,garbage bin
video device,garbage bin
automotive fluid,garbage bin
filter,garbage bin
container,garbage bin
baby wipes,garbage bin
plastic packaging,garbage bin
bale wrap,garbage bin
balloons,garbage bin
bamboo container,green bin
bamboo cutlery,green bin
barbecue,garbage bin
bathroom fixtures,garbage bin
battery operated device,garbage bin
beer can,garbage bin
plastic ring,garbage bin
bicycle,garbage bin
tricycle,garbage bin
scooter,garbage bin
blister packaging,garbage bin
boat wrap,garbage bin
boat,garbage bin
book,garbage bin
boot,garbage bin
shoe,garbage bin
sandal,garbage bin
slipper,garbage bin
box spring,garbage bin
bread bag,garbage bin
bread tag,garbage bin
bristol board,yellow bin
brita filter,garbage bin
bubble lined paper envelope,garbage bin
bubble wrap,garbage bin
burlap sacks,garbage bin
candles,garbage bin
candy wrappers,garbage bin
capacitor,garbage bin
cap,garbage bin
helmet,garbage bin
carbonless paper,yellow bin
cardboard,yellow bin
paper envelope,yellow bin
cardboard carton,yellow bin
cardboard spiral can,blue bin
cardboard take-out container,yellow bin
cardboard tube,yellow bin
cardstock paper,yellow bin
carpeting,garbage bin
linoleum,garbage bin
car,garbage bin
truck,garbage bin
cassette tape,garbage bin
cast iron bath tub,garbage bin
cd,garbage bin
dvd,garbage bin
ceramic,garbage bin
clay flower pot,garbage bin
porcelain tile,garbage bin
cereal,garbage bin
cracker box liner,garbage bin
cereal box,yellow bin
cheese slice wrap,garbage bin
chewing gum,garbage bin
chopstick,green bin
popsicle stick,green bin
tooth pick,green bin
christmas ornament,garbage bin
cigarette,garbage bin
cigar butt,garbage bin
cleaning cloth,garbage bin
cleaning supply,garbage bin
clear plastic food container,blue bin
clothing,garbage bin
food-soiled paper,garbage bin
coffee filter,green bin
coffee ground,green bin
compostable bag,garbage bin
liner,garbage bin
compostable plastic container,garbage bin
compostable plastic cutlery,garbage bin
computer mouse,garbage bin
keyboard,garbage bin
accessory,garbage bin
computer monitor,garbage bin
computer printer,garbage bin
computerized device,garbage bin
computer,garbage bin
tablet,garbage bin
concrete,garbage bin
brick,garbage bin
remodeling material,garbage bin
contact lense,garbage bin
cooking oil,green bin
corn stalk,green bin
corrugated cardboard box,yellow bin
corrugated plastic sign,garbage bin
crayon,garbage bin
credit,garbage bin
gift card,garbage bin
pressure treated wood,garbage bin
dead animal,garbage bin
decorative item,garbage bin
diaper,garbage bin
video camera,garbage bin
disposable paper cup,blue bin
disposable plastic cup,blue bin
disposable plastic drop cloth,garbage bin
drinking glass,garbage bin
dry ice,garbage bin
dryer lint,garbage bin
dryer sheet,garbage bin
durable medical equipment,garbage bin
election sign,garbage bin
electronic clock,garbage bin
electric motor,garbage bin
electric wiring,garbage bin
string light,garbage bin
electronic toy,garbage bin
aerosol can,blue bin
disposable lighter,garbage bin
metal paint can,garbage bin
engine coolant,garbage bin
exercise machine,garbage bin
eyeglass,garbage bin
facial cleansing pad,garbage bin
cloth,garbage bin
facial tissue,green bin
fan,garbage bin
desktop,garbage bin
feminine hygiene product,garbage bin
fertilizer,garbage bin
pesticide,garbage bin
herbicide,garbage bin
fire log,garbage bin
fire starter,garbage bin
fishing line,garbage bin
flag,garbage bin
flammable liquid,garbage bin
floppy disk,garbage bin
florist foam,garbage bin
flour bag,yellow bin
fluorescent light bulb,garbage bin
tube,garbage bin
foam-filled bag,garbage bin
foil-lined packaging,garbage bin
food,green bin
beverage pouch,garbage bin
food item,green bin
food-grade wax,garbage bin
frozen food boxes,yellow bin
furnace filter,garbage bin
furniture item,garbage bin
garage door,garbage bin
garden plant,green bin
weed,green bin
gas outdoor power tool,garbage bin
gift bag,yellow bin
gift wrap,yellow bin
glass beverage bottle,blue bin
glass bottle,blue bin
jar,blue bin
glow stick,garbage bin
grass clippings,green bin
soiled paper,green bin
greeting cards,yellow bin
grooming product,garbage bin
hair dryer,garbage bin
personal care items,garbage bin
hair,garbage bin
nail clipping,garbage bin
hand tool,garbage bin
hanger,garbage bin
hanging file folder,yellow bin
metal tubes,garbage bin
hay,green bin
straw,green bin
hedge,green bin
shrub trimming,green bin
hello fresh box,yellow bin
home,garbage bin
office telephone,garbage bin
hose,garbage bin
rope,garbage bin
hot tubs,garbage bin
household battery,garbage bin
houseplant,green bin
flower arrangement,green bin
ice bag,garbage bin
ice pack,garbage bin
infant car seat,garbage bin
invasive species,garbage bin
invasive plants,green bin
jewelry item,garbage bin
juice box,blue bin
keurig coffee pod,blue bin
kitchen appliance,garbage bin
kitchen tool,garbage bin
kitty litter,green bin
landscape fabric,garbage bin
laptop battery,garbage bin
leaf,green bin
license plate,garbage bin
light bulb,garbage bin
light fixture,garbage bin
curtain,garbage bin
magazine,yellow bin
calendar,yellow bin
mail,yellow bin
flyer,yellow bin
cosmetics,garbage bin
matchsticks,garbage bin
mattress,garbage bin
meat tray pad,garbage bin
first aid supply,garbage bin
medical sharps,garbage bin
medication,garbage bin
supplement,garbage bin
mesh bag,garbage bin
metal beverage can,blue bin
metal bottle cap,blue bin
metal can,blue bin
metal door,garbage bin
metal furniture item,garbage bin
milk bag,garbage bin
milk carton,blue bin
mirror,garbage bin
mobile phone accessory,garbage bin
mobile phone battery,garbage bin
mobile phone,garbage bin
smartphone,garbage bin
mop sheet,garbage bin
broom,garbage bin
mulch,green bin
musical instrument,garbage bin
natural christmas tree decoration,garbage bin
nespresso coffee capsule,blue bin
newspaper,yellow bin
newspaper insert,yellow bin
non electric air freshener,garbage bin
non-milk dairy,blue bin
juice carton,blue bin
office equipment,garbage bin
oil-based paint,garbage bin
oral health product,garbage bin
organic garden material,green bin
outdoor plastic furniture,garbage bin
outdoor power tool,garbage bin
outdoor wood furniture,garbage bin
oyster,green bin
sea shell,green bin
purse,garbage bin
wallet,garbage bin
stained wood,garbage bin
painting tool,garbage bin
paper coffee cup,blue bin
paper ice cream container,blue bin
paper item,yellow bin
paper label,yellow bin
paper packaging,yellow bin
paper plate,green bin
paper straw,green bin
paper tray,yellow bin
egg carton,yellow bin
parchment paper,garbage bin
patio umbrella,garbage bin
personal hygiene product,garbage bin
personal protective equipment,garbage bin
pet bed,garbage bin
toy,garbage bin
pet food bag,yellow bin
pet medication,garbage bin
pet waste,garbage bin
pet waste bag,garbage bin
